x	y
0	0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
0.992907801418	0.992337164751
0.992907801418	0.992337164751
0.979020979021	0.992337164751
0.972222222222	0.992337164751
0.965517241379	0.992337164751
0.958904109589	0.992337164751
0.952380952381	0.992337164751
0.945945945946	0.992337164751
0.945945945946	0.992337164751
0.945945945946	0.992337164751
0.939597315436	0.992337164751
0.933333333333	0.992337164751
0.927152317881	0.992337164751
0.921052631579	0.992337164751
0.915032679739	0.992337164751
0.909090909091	0.992337164751
0.897435897436	0.992337164751
0.891719745223	0.992337164751
0.886075949367	0.992337164751
0.880503144654	0.992337164751
0.875	0.992337164751
0.875	0.988549618321
0.869565217391	0.988549618321
0.864197530864	0.988549618321
0.858895705521	0.988549618321
0.853658536585	0.988549618321
0.843373493976	0.988549618321
0.838323353293	0.988549618321
0.833333333333	0.988549618321
0.828402366864	0.988549618321
0.823529411765	0.988549618321
0.818713450292	0.988549618321
0.813953488372	0.988549618321
0.813953488372	0.984790874525
0.804597701149	0.984790874525
0.8	0.984790874525
0.790960451977	0.984790874525
0.786516853933	0.984790874525
0.782122905028	0.984790874525
0.777777777778	0.984790874525
0.756756756757	0.984790874525
0.729166666667	0.984790874525
0.717948717949	0.984790874525
0.707070707071	0.984790874525
0.696517412935	0.984790874525
0.693069306931	0.984790874525
0.676328502415	0.984790874525
0.666666666667	0.984790874525
0.663507109005	0.984790874525
0.642201834862	0.984790874525
0.639269406393	0.981060606061
0.627802690583	0.981060606061
0.622222222222	0.977358490566
0.616740088106	0.977358490566
0.614035087719	0.973684210526
0.61135371179	0.973684210526
0.603448275862	0.973684210526
0.590717299578	0.970037453184
0.578512396694	0.966417910448
0.56	0.966417910448
0.553359683794	0.966417910448
0.546875	0.96282527881
0.542635658915	0.959259259259
0.538461538462	0.959259259259
0.528301886792	0.959259259259
0.524344569288	0.959259259259
0.516605166052	0.959259259259
0.510948905109	0.959259259259
0.507246376812	0.959259259259
0.5	0.959259259259
0.494699646643	0.959259259259
0.494699646643	0.959259259259
0.492957746479	0.959259259259
0.487804878049	0.955719557196
0.486111111111	0.955719557196
0.48275862069	0.955719557196
0.481099656357	0.955719557196
0.479452054795	0.955719557196
0.477815699659	0.955719557196
0.47619047619	0.955719557196
0.472972972973	0.955719557196
0.47138047138	0.955719557196
0.468227424749	0.955719557196
0.466666666667	0.955719557196
0.46204620462	0.955719557196
0.459016393443	0.952205882353
0.457516339869	0.952205882353
0.451612903226	0.952205882353
0.450160771704	0.952205882353
0.447284345048	0.952205882353
0.440251572327	0.952205882353
0.436137071651	0.952205882353
0.432098765432	0.952205882353
0.430769230769	0.952205882353
0.428134556575	0.948717948718
0.425531914894	0.948717948718
0.424242424242	0.948717948718
0.42042042042	0.948717948718
0.42042042042	0.945255474453
0.419161676647	0.945255474453
0.417910447761	0.945255474453
0.416666666667	0.945255474453
0.414201183432	0.945255474453
0.410557184751	0.945255474453
0.408163265306	0.945255474453
0.406976744186	0.945255474453
0.405797101449	0.945255474453
0.402298850575	0.945255474453
0.401146131805	0.945255474453
0.397727272727	0.945255474453
0.393258426966	0.945255474453
0.391061452514	0.945255474453
0.387811634349	0.945255474453
0.384615384615	0.945255474453
0.383561643836	0.945255474453
0.381471389646	0.945255474453
0.377358490566	0.945255474453
0.377358490566	0.945255474453
0.374331550802	0.945255474453
0.363636363636	0.945255474453
0.342298288509	0.938405797101
0.328638497653	0.928315412186
0.316742081448	0.928315412186
0.30701754386	0.928315412186
0.298507462687	0.918439716312
0.289256198347	0.911971830986
0.277777777778	0.911971830986
0.269230769231	0.905594405594
0.258302583026	0.899305555556
0.249110320285	0.896193771626
0.24347826087	0.896193771626
0.236486486486	0.896193771626
0.229885057471	0.88698630137
0.225080385852	0.883959044369
0.221518987342	0.883959044369
0.218408736349	0.883959044369
0.211161387632	0.883959044369
0.207100591716	0.883959044369
0.203784570597	0.883959044369
0.196629213483	0.883959044369
0.19257221458	0.883959044369
0.189701897019	0.883959044369
0.187165775401	0.883959044369
0.183968462549	0.883959044369
0.181818181818	0.883959044369
0.179028132992	0.883959044369
0.176991150442	0.883959044369
0.173697270471	0.883959044369
0.171568627451	0.880952380952
0.169491525424	0.880952380952
0.167264038232	0.880952380952
0.165289256198	0.880952380952
0.162412993039	0.877966101695
0.159271899886	0.875
0.158371040724	0.875
0.155728587319	0.872053872054
0.154867256637	0.869127516779
0.152505446623	0.866220735786
0.151515151515	0.866220735786
0.149572649573	0.860465116279
0.147679324895	0.860465116279
0.14598540146	0.860465116279
0.145228215768	0.854785478548
0.144032921811	0.854785478548
0.142566191446	0.851973684211
0.14014014014	0.851973684211
0.139026812314	0.851973684211
0.137254901961	0.851973684211
0.136186770428	0.851973684211
0.134486071085	0.851973684211
0.133333333333	0.849180327869
0.132075471698	0.849180327869
0.130841121495	0.849180327869
0.12962962963	0.846405228758
0.12832263978	0.846405228758
0.128205128205	0.846405228758
0.127272727273	0.846405228758
0.127041742287	0.846405228758
0.126353790614	0.846405228758
0.12533572068	0.846405228758
0.124666073019	0.843648208469
0.124223602484	0.843648208469
0.12323943662	0.843648208469
0.122377622378	0.840909090909
0.121633362294	0.840909090909
0.121002592913	0.840909090909
0.12017167382	0.840909090909
0.119453924915	0.840909090909
0.118845500849	0.838187702265
0.118243243243	0.835483870968
0.117944397641	0.835483870968
0.117252931323	0.835483870968
0.116472545757	0.835483870968
0.116375727348	0.832797427653
0.115894039735	0.832797427653
0.115702479339	0.832797427653
0.115131578947	0.832797427653
0.114285714286	0.832797427653
0.113913751017	0.832797427653
0.113821138211	0.832797427653
0.113636363636	0.832797427653
0.113177041229	0.827476038339
0.112812248187	0.827476038339
0.112540192926	0.827476038339
0.112089671737	0.827476038339
0.111821086262	0.827476038339
0.111022997621	0.827476038339
0.110759493671	0.827476038339
0.110497237569	0.827476038339
0.110410094637	0.827476038339
0.00343406593407	0.303278688525
